test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,seed
1.4,non_refractive,0.15800939791188529,0.49949160033358764,1.002633489965198,1.1964536223602045,2.0479989702551604,18.005759345629507,12.757615263670857,0.7085296997911661,4294,49
1.4,refractive,0.024209811109504188,0.3907896130180871,1.0004034968518252,1.1964536223602045,2.0479989702551604,0.49342459490977175,1.3962035671983588,2.8296189156393194,4294,49
1.5,non_refractive,0.15367945645085637,0.4709457111289357,1.0025613242741809,1.1964536223602045,2.0479989702551604,19.11231232928591,30.998895185250678,1.621933267475484,4288,49
1.5,refractive,0.029528593146276157,0.4201290094889062,1.0004921432191045,1.1964536223602045,2.0479989702551604,0.5338505234004897,1.5066261117723432,2.822187196100371,4288,49
1.7,non_refractive,0.18532506500045934,0.4439063850993221,1.003088751083341,1.1964536223602045,2.0479989702551604,21.6488818060162,73.35205703040408,3.38826077428256,4312,49
1.7,refractive,0.03253081095722888,0.3973085406420946,1.0005421801826204,1.1964536223602045,2.0479989702551604,0.5550450222206104,1.3785495051730037,2.483671504084006,4312,49
2.0,non_refractive,0.25036255153976145,0.5170518152740305,1.0041727091923294,1.1964536223602045,2.0479989702551604,25.304302868674153,136.62956883647686,5.399459907888611,4312,49
2.0,refractive,0.03040034333378797,0.3842294182402098,1.0005066723888965,1.1964536223602045,2.0479989702551604,0.6172341549691125,1.3138413672322256,2.1285947264178415,4312,49
2.5,non_refractive,0.39101420501248196,0.7834038088351669,1.0065169034168746,1.1964536223602045,2.0479989702551604,31.48653059828619,237.21469344622597,7.533846662011646,4312,49
2.5,refractive,0.04277707277170235,0.4127547683371542,1.0007129512128616,1.1964536223602045,2.0479989702551604,0.7437068096486202,1.4929547184886782,2.0074506500674048,4312,49
1.1,non_refractive,0.31103633135228614,0.9485075513654465,1.0051839388558714,1.213913230257571,2.0022543825890704,12.984323132695696,68.98314767297495,5.312802752056375,3967,50
1.1,refractive,0.026409487738092253,0.4000965031082647,1.0004401581289681,1.213913230257571,2.0022543825890704,0.6091737202603544,1.4349863896672324,2.355627536023606,4054,50
1.2,non_refractive,0.24734286317312493,0.7900982895308952,1.0041223810528854,1.213913230257571,2.0022543825890704,14.136540072218096,46.518530233798586,3.290658817232043,4234,50
1.2,refractive,0.02340917375223748,0.3777394418946388,1.0003901528958705,1.213913230257571,2.0022543825890704,0.6014483189179133,1.4040121486103052,2.3343853568936934,4247,50
1.3,non_refractive,0.22740508499417772,0.6399762655836864,1.003790084749903,1.213913230257571,2.0022543825890704,15.115683580690932,25.620688735972823,1.6949738726140833,4280,50
1.3,refractive,0.022695770195336896,0.40156415830095615,1.000378262836589,1.213913230257571,2.0022543825890704,0.6445929787266406,1.4481796914223275,2.246657564100574,4282,50
1.4,non_refractive,0.24825072567762957,0.5558463055335223,1.0041375120946272,1.213913230257571,2.0022543825890704,16.22065380575788,8.838467189441818,0.5448897002107528,4275,50
1.4,refractive,0.024348238346927717,0.3912671730157526,1.0004058039724488,1.213913230257571,2.0022543825890704,0.6463288159621532,1.4788608108487655,2.288093574548845,4294,50
1.5,non_refractive,0.23734565141261174,0.5381449772309047,1.0039557608568768,1.213913230257571,2.0022543825890704,17.14767582171405,19.100208068238267,1.1138657079142895,4268,50
1.5,refractive,0.028139071161520573,0.4212548493625412,1.0004689845193586,1.213913230257571,2.0022543825890704,0.6910137155895353,1.6244103799831429,2.3507643095004043,4288,50
1.7,non_refractive,0.2863954178090001,0.5348010568176007,1.0047732569634833,1.213913230257571,2.0022543825890704,19.381287059098124,60.75405472027145,3.1346759652760925,4305,50
1.7,refractive,0.030234613026703477,0.3954513748105031,1.0005039102171118,1.213913230257571,2.0022543825890704,0.7146129706459822,1.6718678383139252,2.33954309114012,4312,50
2.0,non_refractive,0.3456658655482479,0.5963733748567825,1.0057610977591374,1.213913230257571,2.0022543825890704,22.800215139678258,124.1888720037505,5.446828955031649,4312,50
2.0,refractive,0.02642102936379489,0.3834571811342291,1.0004403504893966,1.213913230257571,2.0022543825890704,0.7708018197075798,1.8513089816256487,2.4017963298633394,4312,50
2.5,non_refractive,0.5388411824656681,0.9732741312455752,1.0089806863744277,1.213913230257571,2.0022543825890704,28.504674997779897,223.38067230584994,7.83663284437546,4312,50
2.5,refractive,0.03698177592150592,0.411978177999023,1.000616362932025,1.213913230257571,2.0022543825890704,0.9124626008411845,2.253556104747134,2.4697517494630654,4312,50
1.1,non_refractive,0.2144059963070703,0.899388398008567,1.0035734332717845,1.2130656446721355,2.047452735593903,2.2366111530286314,61.36763594281742,27.43777605674483,4054,51
1.1,refractive,0.032438000022850876,0.40151033566125227,1.0005406333337141,1.2130656446721355,2.047452735593903,0.4314974739351309,1.4415772780614835,3.340870723795252,4054,51
1.2,non_refractive,0.19773437627746496,0.8274325063451868,1.0032955729379578,1.2130656446721355,2.047452735593903,2.4876987986547037,40.6598582317358,16.344365424674326,4247,51
1.2,refractive,0.02921071029272909,0.378210776536045,1.0004868451715454,1.2130656446721355,2.047452735593903,0.4227104163271854,1.2842800143084527,3.0382029036975444,4247,51
1.3,non_refractive,0.1937282212350261,0.6477545011393209,1.0032288036872505,1.2130656446721355,2.047452735593903,2.8851354742257422,19.643143978715322,6.808395707652784,4282,51
1.3,refractive,0.029203548603427373,0.4038875934318006,1.0004867258100572,1.2130656446721355,2.047452735593903,0.4561429613660785,1.3593335067019172,2.9800602482847065,4282,51
1.4,non_refractive,0.21244531561064547,0.559434996004691,1.0035407552601774,1.2130656446721355,2.047452735593903,3.5217253213849506,5.538504007191054,1.5726677982407176,4294,51
1.4,refractive,0.02932551666716405,0.3909732322310159,1.0004887586111193,1.2130656446721355,2.047452735593903,0.4450252531429118,1.3244431721069947,2.9761079011884157,4294,51
1.5,non_refractive,0.21824307130146003,0.5070348797866149,1.003637384521691,1.2130656446721355,2.047452735593903,3.766192997783266,23.193813883926452,6.158424142782391,4288,51
1.5,refractive,0.033807511984950966,0.4207349520508068,1.0005634585330825,1.2130656446721355,2.047452735593903,0.4977728061429301,1.47899709271267,2.9712291922351257,4288,51
1.7,non_refractive,0.28490653183111025,0.49366175531719697,1.004748442197185,1.2130656446721355,2.047452735593903,4.967210467506156,64.6277558986063,13.010875283296258,4312,51
1.7,refractive,0.03533727023181367,0.3969037203649963,1.0005889545038635,1.2130656446721355,2.047452735593903,0.5138280291551306,1.3887520186902098,2.7027564474707346,4312,51
2.0,non_refractive,0.3890866649089198,0.5902526881842062,1.006484777748482,1.2130656446721355,2.047452735593903,6.674803818175714,126.09856089331012,18.891725409208213,4312,51
2.0,refractive,0.030673758753294984,0.38404727742802763,1.0005112293125549,1.2130656446721355,2.047452735593903,0.553206866432556,1.3444101136336537,2.430212268158022,4312,51
2.5,non_refractive,0.6189184911847698,0.9865326261618583,1.010315308186413,1.2130656446721355,2.047452735593903,9.464678451445955,223.47863121900025,23.61185669068964,4312,51
2.5,refractive,0.040405093655782535,0.4128593286307786,1.0006734182275965,1.2130656446721355,2.047452735593903,0.6796268103220694,1.4277380930295627,2.1007677615792844,4312,51
